title,price,paper_price,isbn,rating,page,publisher
انسان در جستجوی معنی,8000,15000,9789646104266,4.38,255,انتشارات درسا
مردی به نام اوه,8500,24500,9786007141779,4.34,392,نشر نون
درنگ نکن انجامش بده,12000,20000,9786005253139,4.15,97,انتشارات سیته
سیزده دلیل برای اینکه,5900,nan,nan,3.74,300,ناشرمولف
تاریخ ایران مدرن,15000,25000,9789641851264,4.64,352,نشر نی
هنر شناخت مردم,11200,28000,9789643635572,4.25,304,هرمس
قدرت فکر یا نیروی ذهن نیمه‌هوشیار,9000,18000,9789646617940,3.64,296,نشر معیار اندیشه
سینوهه,25000,50000,978964111902,4.75,336,انتشارات اردیبهشت
جهانی نو,13750,25000,9789647974837,4.3,288,کلک آزادگان
تربیت بدون فریاد,10800,18000,9879642785278,4.92,215,انتشارات صابرین
برادران کارامازوف,18750,37500,9646205070,4.39,512,انتشارات ناهید
بی تابوت,9900,nan,9786005639933,4.73,208,گروه انتشاراتی ققنوس
محاکمه,10800,18000,9789649971544,4,271,نشر ماهی
غرور و تعصب,11000,nan,9789643696962,4,569,نشر افق
کلید کاربردی قانون جذب,9000,18000,9789648759426,4.3,163,انتشارات درسا
احتمالاً گم شده‌ام‌,8400,14000,9789643625429,4.05,143,نشر چشمه
دموکراسی یا دموقراضه,5890,9000,9789643374877,4.43,192,انتشارات کتاب نیستان
چرا با آدم‌ اشتباهی ازدواج می‌کنید؟,4900,nan,nan,3.67,0,ناشرمولف
جنگ و صلح,23000,50000,9789644480270,3.4,707,نشر نیلوفر
مارک و پلو,15000,22000,9789648496673,4.69,186,نشر مثلث
آوای فاخته,30000,50000,9786001821196,3.63,656,انتشارات کتابسرای تندیس
هری پاتر و محفل ققنوس,15000,30000,9645757738,4.65,408,انتشارات کتابسرای تندیس
کلیدر,12500,nan,9789648637649,4.83,690,انتشارات فرهنگ معاصر
راز,11500,23000,9786005138528,4.02,215,انتشارات لیوسا
مدیریت خود,11000,28000,9786008237044,3.87,240,انتشارات آموخته
قدیس,24200,35000,9789643376772,4,298,انتشارات کتاب نیستان
